Class Number, Class Name, Section Name, Instructor, Capacity, Enrolled, Available Seats, Wait List Capacity, Wait List Total
9537,COP 4656 - 0001   Mobile Applications Development,0001-LEC Main Sess,Staff,28,0,28,0,0
9014,CCJ 4651 - 0001   Drugs And Crime,0001-LEC Main Sess,Staff,40,32,8,0,0
9015,CCJ 4651 - 0002   Drugs And Crime,0002-LEC Twelve Wk,Staff,40,0,40,0,0
9016,CCJ 4651 - 0003   Drugs And Crime,0003-LEC Conversion,Staff,30,26,4,0,0
6660,CJE 4650 - 0001   Advanced Crime Scene Investigations,0001-LEC Main Sess,Staff,40,0,40,0,0
8430,CJE 4648 - 0001   Crime Scene Safety,0001-LEC Main Sess,Staff,40,0,40,0,0
13868,CJE 4647 - 0001   Advanced Crime Scene Technology,0001-LEC Main Sess,Staff,30,8,22,0,0
5924,CCJ 4641 - 0001   Organized Crime,0001-LEC Twelve Wk,Staff,40,29,11,0,0
12322,NUR 4636 - 0001   Community Health Nursing,0001-LEC Main Sess,Staff,30,29,1,0,0
12324,NUR 4636 - 0002   Community Health Nursing,0002-LEC Main Sess,Staff,30,10,20,0,0
12323,NUR 4636 - 0003   Community Health Nursing,0003-LEC Main Sess,Staff,30,0,30,0,0
12329,NUR 4636 - 0004   Community Health Nursing,0004-LEC Conversion,Staff,40,0,40,0,0
12327,NUR 4636 - 0005   Community Health Nursing,0005-LEC Conversion,Staff,40,0,40,0,0
12330,NUR 4636 - 0006   Community Health Nursing,0006-LEC Conversion,Staff,40,34,6,0,0
12328,NUR 4636 - 0007   Community Health Nursing,0007-LEC Conversion,Staff,40,20,20,0,0
12326,NUR 4636 - 0008   Community Health Nursing,0008-LEC Conversion,Staff,40,19,21,0,0
12331,NUR 4636 - 0009   Community Health Nursing,0009-LEC Conversion,Staff,40,0,40,0,0
12325,NUR 4636 - 0010   Community Health Nursing,0010-LEC Eight Wk 2,Staff,30,12,18,0,0
7589,CIS 4617 - 0002   Knowledge Management,0002-LEC Main Sess,Staff,28,12,16,0,0
7590,CIS 4617 - 0003   Knowledge Management,0003-LEC Main Sess,Staff,28,15,13,0,0
13867,CJE 4615 - 0002   Advanced Criminal Investigations,0002-LEC Twelve Wk,Staff,30,15,15,0,0
9274,EEX 4613 - 0001   Behavior Supports And Management For Students Withautism Spectrum Disorders,0001-LEC Conversion,Staff,21,0,21,0,0
14678,MAN 4523 - 0001   Production Information Systems,0001-LEC Main Sess,Staff,25,12,13,0,0
9690,MAN 4520 - 0001   Quality Management,0001-LEC Main Sess,Staff,35,30,5,0,0
16946,RED 4519 - 0001   Diagnosis And Instructional Intervention In Reading,0001-LEC Main Sess,Staff,28,9,19,0,0
16947,RED 4519 - 0002   Diagnosis And Instructional Intervention In Reading,0002-LEC Main Sess,Staff,28,0,28,0,0
16948,RED 4519 - 0003   Diagnosis And Instructional Intervention In Reading,0003-LEC Main Sess,Staff,21,19,2,0,0
16949,RED 4519 - 0004   Diagnosis And Instructional Intervention In Reading,0004-LEC Weekend,Staff,28,15,13,0,0
9532,CJL 4514 - 0001   Criminal Sentencing,0001-LEC Twelve Wk,Staff,30,0,30,0,0
16744,MCB 4503 - 0001   Virology,0001-LEC Main Sess,Staff,24,6,18,0,0
9633,PAS 4470 - 0001   Physician Assistant Practice Management,0001-LEC Main Sess,Staff,15,4,11,0,0
7823,CCJ 4450 - 0001   Criminal Justice Administration,0001-LEC Main Sess,Staff,40,30,10,0,0
7824,CCJ 4450 - 0002   Criminal Justice Administration,0002-LEC Twelve Wk,Staff,40,15,25,0,0
7826,CCJ 4450 - 0003   Criminal Justice Administration,0003-LEC Conversion,Staff,40,0,40,0,0
5570,EDF 4430 - 0001   Measurement And Assessment In Education,0001-LEC Conversion,Staff,21,20,1,0,0
5568,EDF 4430 - 0003   Measurement And Assessment In Education,0003-LEC Main Sess,Staff,21,0,21,0,0
5340,BSC 4422 - 0001   Biotechnology Methods And Applications - Iii,0001-LEC Main Sess,Staff,30,19,11,0,0
16251,GEB 4363 - 0001   Import Export Management,0001-LEC Main Sess,Staff,35,32,3,0,0
11011,SCE 4362 - 0001   Methods Of Teaching Science,0001-LEC Main Sess,Staff,28,0,28,0,0
11013,SCE 4362 - 0002   Methods Of Teaching Science,0002-LEC 1st Mon Sp,Staff,28,16,12,0,0
11012,SCE 4362 - 0003   Methods Of Teaching Science,0003-LEC Main Sess,Staff,28,0,28,0,0
13486,MAE 4360 - 0001   Methods Of Teaching Mathematics,0001-LEC Main Sess,Staff,28,0,28,0,0
13489,MAE 4360 - 0002   Methods Of Teaching Mathematics,0002-LEC Main Sess,Staff,28,17,11,0,0
13488,MAE 4360 - 0003   Methods Of Teaching Mathematics,0003-LEC Main Sess,Staff,28,0,28,0,0
13487,MAE 4360 - 0004   Methods Of Teaching Mathematics,0004-LEC Main Sess,Staff,28,14,14,0,0
7492,MAN 4350 - 0001   Professional Development,0001-LEC Conversion,Staff,30,15,15,0,0
7493,MAN 4350 - 0002   Professional Development,0002-LEC Conversion,Staff,30,6,24,0,0
7491,MAN 4350 - 0003   Professional Development,0003-LEC Eight Wk 2,Staff,30,0,30,0,0
13854,CIS 4347 - 0002   Information Storage Management,0002-LEC Main Sess,Staff,28,10,18,0,0
13855,CIS 4347 - 0003   Information Storage Management,0003-LEC Main Sess,Staff,22,17,5,0,0
17255,EDG 4343 - 0001   Instructional Strategies for P-12 Teachers,0001-LEC Conversion,Staff,30,19,11,0,0
13863,CJC 4311 - 0001   Contemporary Issues And Trends In Corrections,0001-LEC 1st Mon Sp,Staff,40,0,40,0,0
13862,CJC 4311 - 0002   Contemporary Issues And Trends In Corrections,0002-LEC Twelve Wk,Staff,40,0,40,0,0
13861,CJC 4311 - 0003   Contemporary Issues And Trends In Corrections,0003-LEC Main Sess,Staff,34,0,34,0,0
12654,TSL 4311 - 0001   Esol Ii: Teaching And Assessing Esol Students,0001-LEC Main Sess,Staff,28,19,9,0,0
12656,TSL 4311 - 0002   Esol Ii: Teaching And Assessing Esol Students,0002-LEC Main Sess,Staff,28,21,7,0,0
12655,TSL 4311 - 0003   Esol Ii: Teaching And Assessing Esol Students,0003-LEC Main Sess,Staff,28,0,28,0,0
17252,TSL 4310 - 0001   Esol In Ece Ii,0001-LEC Main Sess,Staff,25,0,25,0,0
17251,TSL 4310 - 0002   Esol In Ece Ii,0002-LEC Main Sess,Staff,25,17,8,0,0
10042,EEX 4294 - 0001   Differentiated Instruction In Mixed-Ability Classrooms,0001-LEC Conversion,Staff,21,11,10,0,0
11083,EEC 4268 - 0001   Designing And Implementing An Integrated Curriculum (Practicum),0001-LEC Main Sess,Staff,15,0,15,0,0
11085,EEC 4268 - 0002   Designing And Implementing An Integrated Curriculum (Practicum),0002-LEC Main Sess,Staff,15,5,10,0,0
11084,EEC 4268 - 0003   Designing And Implementing An Integrated Curriculum (Practicum),0003-LEC Main Sess,Staff,15,13,2,0,0
12649,TRA 4234 - 0001   Warehouse Management,0001-LEC Eight Wk 2,Staff,30,0,30,0,0
12648,TRA 4234 - 0002   Warehouse Management,0002-LEC Eight Wk 2,Staff,30,1,29,0,0
10300,EEX 4221 - 0001   Assessment In Special Education,0001-LEC Main Sess,Staff,30,0,30,0,0
10299,EEX 4221 - 0002   Assessment In Special Education,0002-LEC Main Sess,Staff,21,11,10,0,0
6286,EEC 4219 - 0001   Science· Technology· And Mathematics (Stem) Methods For Ece Ii,0001-LEC Main Sess,Staff,25,13,12,0,0
6288,EEC 4219 - 0002   Science· Technology· And Mathematics (Stem) Methods For Ece Ii,0002-LEC Main Sess,Staff,25,0,25,0,0
6287,EEC 4219 - 0003   Science· Technology· And Mathematics (Stem) Methods For Ece Ii,0003-LEC Main Sess,Staff,30,19,11,0,0
14196,DSC 4215 - 0001   Emergency Planning & Security Measures,0001-LEC Main Sess,Staff,40,0,40,0,0
6861,DSC 4214 - 0001   Catastrophic Event Response Management,0001-LEC Main Sess,Staff,40,0,40,0,0
7775,LAE 4211 - 0001   Methods And Resources For Literacy Development In Young Children,0001-LEC Main Sess,Staff,25,0,25,0,0
7774,LAE 4211 - 0002   Methods And Resources For Literacy Development In Young Children,0002-LEC Main Sess,Staff,25,18,7,0,0
8355,FIL 4164 - 0001   Advanced Writing For Film And Television,0001-LEC 1st Mon Sp,Staff,30,28,2,0,0
8354,FIL 4164 - 0002   Advanced Writing For Film And Television,0002-LEC Main Sess,Staff,30,19,11,0,0
7025,CJC 4163 - 0001   Advanced Probation & Parole,0001-LEC Main Sess,Staff,60,49,11,0,0
7026,CJC 4163 - 0002   Advanced Probation & Parole,0002-LEC Main Sess,Staff,30,0,30,0,0
7027,CJC 4163 - 0003   Advanced Probation & Parole,0003-LEC Twelve Wk,Staff,36,13,23,0,0
13796,MAN 4162 - 0001   Customer Relations For Managers,0001-LEC Main Sess,Staff,30,23,7,0,0
13804,MAN 4162 - 0002   Customer Relations For Managers,0002-LEC Eight Wk 1,Staff,20,10,10,0,0
13813,MAN 4162 - 0003   Customer Relations For Managers,0003-LEC Conversion,Staff,30,0,30,0,0
13812,MAN 4162 - 0004   Customer Relations For Managers,0004-LEC Conversion,Staff,30,26,4,0,0
13797,MAN 4162 - 0005   Customer Relations For Managers,0005-LEC Main Sess,Staff,36,13,23,0,0
13798,MAN 4162 - 0006   Customer Relations For Managers,0006-LEC Main Sess,Staff,35,0,35,0,0
13799,MAN 4162 - 0007   Customer Relations For Managers,0007-LEC Main Sess,Staff,35,27,8,0,0
13809,MAN 4162 - 0008   Customer Relations For Managers,0008-LEC Eight Wk 2,Staff,35,0,35,0,0
13814,MAN 4162 - 0009   Customer Relations For Managers,0009-LEC Weekend,Staff,45,0,45,0,0
13810,MAN 4162 - 0010   Customer Relations For Managers,0010-LEC Conversion,Staff,30,0,30,0,0
13811,MAN 4162 - 0011   Customer Relations For Managers,0011-LEC Conversion,Staff,30,27,3,0,0
13800,MAN 4162 - 0012   Customer Relations For Managers,0012-LEC Main Sess,Staff,30,8,22,0,0
13808,MAN 4162 - 0013   Customer Relations For Managers,0013-LEC Eight Wk 2,Staff,30,26,4,0,0
13802,MAN 4162 - 0014   Customer Relations For Managers,0014-LEC Main Sess,Staff,25,0,25,0,0
13807,MAN 4162 - 0015   Customer Relations For Managers,0015-LEC Eight Wk 2,Staff,25,11,14,0,0
13803,MAN 4162 - 0017   Customer Relations For Managers,0017-LEC Eight Wk 1,Staff,30,26,4,0,0
13805,MAN 4162 - 0018   Customer Relations For Managers,0018-LEC Eight Wk 2,Staff,25,5,20,0,0
13806,MAN 4162 - 0019   Customer Relations For Managers,0019-LEC Eight Wk 2,Staff,35,0,35,0,0
7068,CJL 4133 - 0001   Criminal Evidence,0001-LEC Main Sess,Staff,40,20,20,0,0
16272,MAN 4120 - 0001   Leadership Challenges And Supervision,0001-LEC Main Sess,Staff,40,16,24,0,0
16287,MAN 4120 - 0002   Leadership Challenges And Supervision,0002-LEC Conversion,Staff,35,22,13,0,0
16273,MAN 4120 - 0003   Leadership Challenges And Supervision,0003-LEC Main Sess,Staff,35,0,35,0,0
16280,MAN 4120 - 0004   Leadership Challenges And Supervision,0004-LEC Main Sess,Staff,35,31,4,0,0
16279,MAN 4120 - 0005   Leadership Challenges And Supervision,0005-LEC Main Sess,Staff,25,0,25,0,0
16289,MAN 4120 - 0006   Leadership Challenges And Supervision,0006-LEC Weekend,Staff,45,11,34,0,0
16278,MAN 4120 - 0007   Leadership Challenges And Supervision,0007-LEC Main Sess,Staff,30,0,30,0,0
16277,MAN 4120 - 0008   Leadership Challenges And Supervision,0008-LEC Main Sess,Staff,30,8,22,0,0
16286,MAN 4120 - 0009   Leadership Challenges And Supervision,0009-LEC Conversion,Staff,30,4,26,0,0
16276,MAN 4120 - 0010   Leadership Challenges And Supervision,0010-LEC Main Sess,Staff,30,0,30,0,0
16288,MAN 4120 - 0011   Leadership Challenges And Supervision,0011-LEC Conversion,Staff,30,25,5,0,0
16285,MAN 4120 - 0012   Leadership Challenges And Supervision,0012-LEC Conversion,Staff,25,0,25,0,0
16275,MAN 4120 - 0013   Leadership Challenges And Supervision,0013-LEC Main Sess,Staff,25,0,25,0,0
16284,MAN 4120 - 0014   Leadership Challenges And Supervision,0014-LEC Eight Wk 2,Staff,25,6,19,0,0
16274,MAN 4120 - 0015   Leadership Challenges And Supervision,0015-LEC Main Sess,Staff,25,15,10,0,0
16282,MAN 4120 - 0017   Leadership Challenges And Supervision,0017-LEC Eight Wk 2,Staff,30,0,30,0,0
16281,MAN 4120 - 0018   Leadership Challenges And Supervision,0018-LEC Eight Wk 1,Staff,30,0,30,0,0
13076,PCB 4097 - 0001   Human Physiology,0001-LEC Main Sess,Staff,30,16,14,0,0
10298,EEX 4094 - 0001   Nature And Needs Of Students With Autism Spectrum Disorders,0001-LEC Conversion,Staff,21,7,14,0,0
5923,CCJ 4054 - 0001   Ethics In The Criminal Justice System,0001-LEC Conversion,Staff,40,28,12,0,0
5922,CCJ 4054 - 0002   Ethics In The Criminal Justice System,0002-LEC Twelve Wk,Staff,40,33,7,0,0
10301,EGI 4050 - 0001   Nature And Needs Of Gifted Students,0001-LEC Conversion,Staff,28,14,14,0,0
8040,EEX 4024 - 0001   Legal Issues For Working With Students With Exceptionalities,0001-LEC Conversion,Staff,21,6,15,0,0
11978,PCB 4023 - 0001   Molecular And Cell Biology,0001-LEC Main Sess,Staff,32,28,4,0,0
8543,DSC 4012 - 0001   Terrorism,0001-LEC Twelve Wk,Staff,80,55,25,0,0
8542,DSC 4012 - 0002   Terrorism,0002-LEC Main Sess,Staff,36,19,17,0,0
11284,EEX 4012 - 0001   Introduction To Brain-Based Teaching Strategies,0001-LEC Conversion,Staff,21,0,21,0,0
11285,EEX 4012 - 0002   Introduction To Brain-Based Teaching Strategies,0002-LEC Conversion,Staff,21,19,2,0,0
11286,EEX 4012 - 0003   Introduction To Brain-Based Teaching Strategies,0003-LEC Conversion,Staff,28,0,28,0,0
6410,ISM 4011 - 0001   Management Information Systems,0001-LEC Main Sess,Staff,25,19,6,0,0
6411,ISM 4011 - 0002   Management Information Systems,0002-LEC Main Sess,Staff,25,0,25,0,0
6420,ISM 4011 - 0003   Management Information Systems,0003-LEC Conversion,Staff,35,16,19,0,0
6423,ISM 4011 - 0005   Management Information Systems,0005-LEC Weekend,Staff,25,18,7,0,0
6413,ISM 4011 - 0006   Management Information Systems,0006-LEC Main Sess,Staff,25,13,12,0,0
6414,ISM 4011 - 0007   Management Information Systems,0007-LEC Main Sess,Staff,25,10,15,0,0
