Class Number, Campus, Class Name, Section Name, Instructor, Capacity, Enrolled, Available Seats, Wait List Capacity, Wait List Total
6289,Medical Campus,EMS 2602 - 0001   Paramedic Lecture 2,0001-LEC Main Sess,Staff,45,36,9,0,0
6290,Medical Campus,EMS 2602 - 0002   Paramedic Lecture 2,0002-LEC Conversion,Staff,18,16,2,0,0
10304,Medical Campus,EMS 2602L - 0001   Paramedic Laboratory 2,0001-LAB Main Sess,Staff,6,5,1,0,0
10307,Medical Campus,EMS 2602L - 0004   Paramedic Laboratory 2,0004-LAB Main Sess,Staff,6,5,1,0,0
10311,Medical Campus,EMS 2602L - 0007   Paramedic Laboratory 2,0007-LAB Weekend,Staff,6,5,1,0,0
10310,Medical Campus,EMS 2602L - 0008   Paramedic Laboratory 2,0008-LAB Main Sess,Staff,6,4,2,0,0
10313,Medical Campus,EMS 2602L - 0009   Paramedic Laboratory 2,0009-LAB Weekend,Staff,6,3,3,0,0
11259,North Campus,EEC 2601 - 0001   Observation And Assessment In Early Childhood,0001-LEC Main Sess,Staff,30,27,3,0,0
11261,Kendall Campus,EEC 2601 - 0002   Observation And Assessment In Early Childhood,0002-LEC Main Sess,Staff,30,28,2,0,0
11260,Homestead Campus,EEC 2601 - 0003   Observation And Assessment In Early Childhood,0003-LEC Main Sess,Staff,30,13,17,0,0
10044,Medical Campus,EMS 2601 - 0002   Paramedic Lecture 1,0002-LEC Main Sess,Staff,18,0,18,0,0
10406,North Campus,MUC 2601 - 0001   Introduction To Songwriting,0001-LEC 1st Mon Sp,Staff,25,13,12,0,0
10405,Kendall Campus,MUC 2601 - 0002   Introduction To Songwriting,0002-LEC Main Sess,Staff,23,9,14,0,0
13865,North Campus,MUM 2601 - 0001   Sound Recording 2,0001-LEC 1st Mon Sp,Staff,20,12,8,0,0
13864,Kendall Campus,MUM 2601 - 0002   Sound Recording 2,0002-LEC Main Sess,Staff,20,17,3,0,0
16461,Medical Campus,RET 2601 - 0001   Respiratory Care Seminar,0001-LEC Main Sess,Staff,45,21,24,0,0
6735,Medical Campus,EMS 2601L - 0002   Paramedic Laboratory 1,0002-LAB Weekend,Staff,6,0,6,0,0
6728,Medical Campus,EMS 2601L - 0004   Paramedic Laboratory 1,0004-LAB Conversion,Staff,6,5,1,0,0
6734,Medical Campus,EMS 2601L - 0005   Paramedic Laboratory 1,0005-LAB Weekend,Staff,6,0,6,0,0
6736,Medical Campus,EMS 2601L - 0010   Paramedic Laboratory 1,0010-LAB Weekend,Staff,6,0,6,0,0
12244,North Campus,MUM 2601L - 0001   Sound Recording 2 Lab,0001-LAB 1st Mon Sp,Staff,20,12,8,0,0
12243,Kendall Campus,MUM 2601L - 0002   Sound Recording 2 Lab,0002-LAB Main Sess,Staff,20,17,3,0,0
7360,Kendall Campus,CJE 2600 - 0003   Criminal Investigation,0003-LEC Twelve Wk,Staff,35,25,10,0,0
7355,Kendall Campus,CJE 2600 - 0004   Criminal Investigation,0004-LEC Main Sess,Staff,40,0,40,0,0
7356,Kendall Campus,CJE 2600 - 0005   Criminal Investigation,0005-LEC Main Sess,Staff,40,29,11,0,0
7358,Wolfson Campus,CJE 2600 - 0007   Criminal Investigation,0007-LEC Main Sess,Staff,34,27,7,0,0
7361,Wolfson Campus,CJE 2600 - 0008   Criminal Investigation,0008-LEC Conversion,Staff,34,27,7,0,0
16362,North Campus,MUM 2600 - 0001   Sound Recording 1,0001-LEC Main Sess,Staff,25,18,7,0,0
16365,Kendall Campus,MUM 2600 - 0002   Sound Recording 1,0002-LEC Main Sess,Staff,20,14,6,0,0
16364,Kendall Campus,MUM 2600 - 0003   Sound Recording 1,0003-LEC Main Sess,Staff,20,10,10,0,0
16363,Kendall Campus,MUM 2600 - 0004   Sound Recording 1,0004-LEC Main Sess,Staff,20,19,1,0,0
14848,North Campus,MUM 2600L - 0001   Sound Recording 1 Lab,0001-LAB Main Sess,Staff,25,18,7,0,0
14851,Kendall Campus,MUM 2600L - 0002   Sound Recording 1 Lab,0002-LAB Main Sess,Staff,20,14,6,0,0
14850,Kendall Campus,MUM 2600L - 0003   Sound Recording 1 Lab,0003-LAB Main Sess,Staff,20,10,10,0,0
14849,Kendall Campus,MUM 2600L - 0004   Sound Recording 1 Lab,0004-LAB Main Sess,Staff,20,19,1,0,0
10776,North Campus,DSC 2590 - 0001   Intelligence Analysis And Security Management,0001-LEC Twelve Wk,Staff,40,25,15,0,0
10778,Kendall Campus,DSC 2590 - 0002   Intelligence Analysis And Security Management,0002-LEC Twelve Wk,Staff,36,0,36,0,0
10777,Wolfson Campus,DSC 2590 - 0003   Intelligence Analysis And Security Management,0003-LEC Twelve Wk,Staff,34,11,23,0,0
10332,North Campus,FFP 2590 - 0001   Fire Inspector Preparation,0001-LEC Conversion,Staff,24,17,7,0,0
5285,Kendall Campus,ARC 2580 - 0001   Architectural Structures 1,0001-LEC Main Sess,Staff,32,20,12,0,0
5284,Wolfson Campus,ARC 2580 - 0002   Architectural Structures 1,0002-LEC Main Sess,Staff,33,22,11,0,0
8537,Wolfson Campus,DAA 2571 - 0001   Modern Dance/Jazz For The Theater 2,0001-LAB Main Sess,Staff,25,5,20,0,0
9553,Wolfson Campus,DAA 2570 - 0001   Modern Dance For Theater 1,0001-LAB Conversion,Staff,40,13,27,0,0
14553,North Campus,FFP 2540 - 0001   Fire Detection And Suppression Systems,0001-LEC Conversion,Staff,24,21,3,0,0
11532,Medical Campus,NMT 2534 - 0001   Nuclear Medicine Instruction,0001-LEC Main Sess,Staff,20,11,9,0,0
14500,North Campus,EEC 2527 - 0001   Legal & Financial Issue In Child Care,0001-LEC Conversion,Staff,30,11,19,0,0
14501,InterAmerican Campus,EEC 2527 - 0002   Legal & Financial Issue In Child Care,0002-LEC Conversion,Staff,25,18,7,0,0
10288,North Campus,EEC 2523 - 0001   Programming & Management For Early Childhood Administrators,0001-LEC Conversion,Staff,30,11,19,0,0
