Class Number, Class Name, Section Name, Instructor, Capacity, Enrolled, Available Seats, Wait List Capacity, Wait List Total11994,BSC 7982 - U01   Dissertation Defense Seminar,U01-G Regular,Jennifer Richards,10,4,6,0,0
32371,ANG 7964 - U07   Preparation: Preliminary Doctoral Exam,U07-O Regular,Mark Padilla,5,1,4,0,0
32372,ANG 7964 - U08   Preparation: Preliminary Doctoral Exam,U08-O Regular,Jean Rahier,5,0,5,0,0
32373,ANG 7964 - U09   Preparation: Preliminary Doctoral Exam,U09-O Regular,Dennis Wiedman,5,0,5,0,0
35794,ANG 7964 - U10   Preparation: Preliminary Doctoral Exam,U10-O Regular,Kevin Grove,5,1,4,0,0
32284,EDH 7964 - U01   Comprehensive Doctoral Examination,U01-O Regular,Benjamin Baez,5,0,5,0,0
10430,GEO 7964 - U01   Preparation: Preliminary Doctoral Exam,U01-O Regular,Peter Craumer,10,0,10,0,0
10432,GEO 7964 - U02   Preparation: Preliminary Doctoral Exam,U02-O Regular,Gail Hollander,10,1,9,0,0
10433,GEO 7964 - U03   Preparation: Preliminary Doctoral Exam,U03-O Regular,Ricardo Gonzalez,10,0,10,0,0
32375,GEO 7964 - U04   Preparation: Preliminary Doctoral Exam,U04-O Regular,Kevin Grove,10,0,10,0,0
32376,GEO 7964 - U05   Preparation: Preliminary Doctoral Exam,U05-O Regular,Roderick Neumann,10,0,10,0,0
32378,GEO 7964 - U07   Preparation: Preliminary Doctoral Exam,U07-O Regular,Ulrich Oslender,10,0,10,0,0
32379,GEO 7964 - U08   Preparation: Preliminary Doctoral Exam,U08-O Regular,Derrick Scott,10,0,10,0,0
32380,GEO 7964 - U09   Preparation: Preliminary Doctoral Exam,U09-O Regular,Benjamin Smith,10,0,10,0,0
11975,BSC 7961 - U01   Dissertation Proposal Seminar,U01-O Regular,Jennifer Richards,15,5,10,0,0
35102,CCJ 7960 - U01   Comprehensive Exam,U01-O Regular,Rob Guerette,10,3,7,0,0
11788,PAD 7960 - U01   Comprehensive Examination in Public Administration,U01-O Regular,Milena Neshkova,10,1,9,0,0
34357,LAW 7952 - U01   Appellate Advocacy Competition,U01-O Regular,David Walter,15,2,13,0,0
34343,LAW 7951 - U01   Trial Advocacy Competition,U01-O Regular,Scott Fingerhut,15,4,11,0,0
34510,LAW 7948 - U01   Small Business Clinic,U01-O Regular,John Little, Shahrzad Emami,15,8,7,0,0
16695,NGR 7941C - RVC   DNP Project II,RVC-I Regular,Ellen Brown,35,4,31,0,0
10226,SYA 7941 - U01   Field Research,U01-S Regular,Chris Girard,10,0,10,0,0
10227,SYA 7941 - U02   Field Research,U02-S Regular,Guillermo Grenier,10,1,9,0,0
10228,SYA 7941 - U03   Field Research,U03-S Regular,Percy Hintzen,10,0,10,0,0
10386,SYA 7941 - U04   Field Research,U04-S Regular,Archibald Kincaid,10,0,10,0,0
10387,SYA 7941 - U05   Field Research,U05-S Regular,Abraham Lavender,10,0,10,0,0
10388,SYA 7941 - U06   Field Research,U06-S Regular,Shearon Lowery,10,0,10,0,0
10389,SYA 7941 - U07   Field Research,U07-S Regular,Qing Lai,10,0,10,0,0
10390,SYA 7941 - U08   Field Research,U08-S Regular,Katherine Lineberger,10,0,10,0,0
32351,SYA 7941 - U09   Field Research,U09-S Regular,Matthew David Marr,10,0,10,0,0
10391,SYA 7941 - U10   Field Research,U10-S Regular,Vrushali Patil,10,1,9,0,0
10392,SYA 7941 - U11   Field Research,U11-S Regular,Marifeli Perez-Stable,10,0,10,0,0
32659,SYA 7941 - U12   Field Research,U12-S Regular,Richard Tardanico,10,0,10,0,0
16621,NGR 7940C - RVC   DNP Project I,RVC-I Regular,Jorge Valdes, Juan Gonzalez,12,7,5,0,0
34304,NGR 7940C - RVD   DNP Project I,RVD-I Regular,Vicente Gonzalez,12,3,9,0,0
34305,NGR 7940C - RVE   DNP Project I,RVE-I Regular,Derrick Glymph,12,9,3,0,0
34306,NGR 7940C - RVF   DNP Project I,RVF-I Regular,Ann Miller,12,9,3,0,0
34307,NGR 7940C - RVG   DNP Project I,RVG-I Regular,Linda Wunder,12,2,10,0,0
34800,NGR 7940C - RVH   DNP Project I,RVH-I Regular,Charles Buscemi,35,4,31,0,0
35869,NGR 7940C - RVI   DNP Project I,RVI-I Regular,Eric Fenkl,6,4,2,0,0
16093,EML 7939 - U01   Ph.D. Seminar,U01-O Regular,Chengxian Lin,49,11,38,0,0
15772,RED 7938 - P80   Doctoral Seminar in Reading Education,P80-O Regular,Joyce Fine,5,2,3,0,0
17818,EDF 7937 - U01   Advanced Topics in the Social Foundations of Education,U01-O Regular,Maria Lovett,20,19,1,0,0
15329,MAN 7936 - U01   Doc Sem In Bus Admin,U01-Z Regular,Aya Chacar,40,6,34,0,0
33739,EEX 7933 - RVC   Advanced Topics in Special Education,RVC-O Regular,Ruba Monem,55,6,49,0,0
33458,ISM 7931 - U01   Organizational Theories in IS Research,U01-O Regular,Richard Klein,10,4,6,0,0
13444,BCH 7930 - U01   Biochemistry Graduate Seminar,U01-O Regular,Yuan Liu,26,22,4,0,0
11855,PAD 7929 - U01   Dissertation Prospectus Development,U01-O Regular,Sukumar Ganapati,5,1,4,0,0
11802,URS 7926 - U02   Supervised Readings,U02-O Regular,Nazife Ganapati,10,1,9,0,0
11803,URS 7926 - U03   Supervised Readings,U03-O Regular,Sukumar Ganapati,10,0,10,0,0
11819,URS 7926 - U07   Supervised Readings,U07-O Regular,Milena Neshkova,5,1,4,0,0
35033,URS 7926 - U09   Supervised Readings,U09-O Regular,Jean-Claude Garcia-Zamor,3,1,2,0,0
